Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
1109,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,1800
1140,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,2400
1143,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,3000
1145,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,3600
1153,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,4200
1154,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,4800
1154,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,5400
1156,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,6000
1164,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,7200
1182,300,20,100,1,12,24.4,36,1800,0.5,0.364,100,2700,7200
1193,300,20,100,1,11,24.4,36,1800,0.5,0.364,100,2700,7200
1234,300,20,100,1,10,24.4,36,1800,0.5,0.364,100,2700,7200
1244,300,20,100,1,9,24.4,36,1800,0.5,0.364,100,2700,7200
1259,300,20,100,1,8,24.4,36,1800,0.5,0.364,100,2700,7200
1267,300,20,100,1,7,24.4,36,1800,0.5,0.364,100,2700,7200
1271,300,20,100,1,6,24.4,36,1800,0.5,0.364,100,2700,7200
1274,300,20,100,1,5,24.4,36,1800,0.5,0.364,100,2700,7200
1288,300,20,100,1,4,24.4,36,1800,0.5,0.364,100,2700,7200
1290,300,20,100,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1292,300,20,90,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1305,300,20,80,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1321,300,20,100,1,1,24.4,36,1800,0.5,0.364,100,2700,7200
1331,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,600
1334,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,1200
1335,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,1800
1337,300,20,70,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1342,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,2400
1345,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,3000
1360,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,4200
1361,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,4800
1374,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,6000
1379,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1385,300,20,60,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1395,300,20,50,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1431,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1446,300,20,40,1,10,26.6,44,1800,0.5,7.358,100,2700,7200
1451,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1462,300,20,40,1,10,26.6,44,1740,0.5,7.358,100,2700,7200
1467,300,20,30,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1518,200,20,40,1,10,24.1,43,1800,0.5,0.394,100,2700,7200
1518,300,20,40,1,10,26.6,44,1680,0.5,7.358,100,2700,7200
1528,300,20,20,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1531,300,20,10,1,10,24.4,35,1800,0.5,7.364,100,2700,7200
1535,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,600,7200
1538,300,20,40,1,10,24.4,35,1800,0.5,7.364,100,300,7200
1553,300,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1554,300,20,40,1,10,26.6,44,1620,0.5,7.358,100,2700,7200
1555,300,20,40,1,10,26.6,44,1560,0.5,7.358,100,2700,7200
1559,300,20,40,1,10,26.6,44,1500,0.5,7.358,100,2700,7200
1581,290,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1582,300,20,40,1,10,26.6,44,1440,0.5,7.358,100,2700,7200
1597,300,20,40,1,10,26.6,44,1380,0.5,7.358,100,2700,7200
1598,200,20,40,1,10,24.1,43,1800,0.5,0.394,100,2700,7200
1604,300,20,40,1,10,26.6,44,1320,0.5,7.358,100,2700,7200
1605,280,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1644,270,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1656,260,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1656,200,20,40,1,10,24.1,43,1800,0.5,0.394,100,2700,7200
1660,250,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
1674,300,20,40,1,10,26.6,44,900,0.5,7.358,100,2700,7200
1675,240,20,40,1,10,27.2,38,1800,0.5,7.394,100,2700,7200
